"","uso_internet","sexo","edad","estudios"
"1",0,"Mujer",66,"Primaria"
"2",1,"Hombre",72,"Primaria"
"3",1,"Hombre",48,"Medios universitarios"
"4",0,"Hombre",59,"Superiores"
"5",1,"Mujer",44,"Superiores"
"6",1,"Mujer",34,"Superiores"
"7",1,"Mujer",49,"Superiores"
"8",1,"Hombre",43,"Medios universitarios"
"9",1,"Hombre",23,"Primaria"
"10",1,"Hombre",29,"F.P."
"11",0,"Mujer",73,"Primaria"
"12",0,"Mujer",42,"Primaria"
"13",1,"Mujer",26,"Primaria"
"14",0,"Mujer",48,"Primaria"
"15",0,"Hombre",79,"Sin estudios"
"16",1,"Hombre",38,"Primaria"
"17",0,"Mujer",61,"Primaria"
"18",1,"Hombre",34,"F.P."
"19",1,"Mujer",40,"Primaria"
"20",1,"Mujer",19,"Primaria"
"21",1,"Mujer",30,"Secundaria"
"22",0,"Mujer",84,"Primaria"
"23",0,"Hombre",51,"Primaria"
"24",1,"Hombre",62,"Superiores"
"25",0,"Hombre",37,"Primaria"
"26",0,"Mujer",67,"Primaria"
"27",1,"Mujer",24,"F.P."
"28",0,"Hombre",52,"Primaria"
"29",0,"Hombre",70,"Sin estudios"
"30",1,"Hombre",25,"Primaria"
"31",0,"Mujer",27,"Primaria"
"32",1,"Mujer",43,"Superiores"
"33",1,"Hombre",24,"Medios universitarios"
"34",0,"Mujer",65,"Sin estudios"
"35",0,"Mujer",63,"Primaria"
"36",0,"Mujer",32,"F.P."
"37",1,"Hombre",22,"Secundaria"
"38",0,"Hombre",61,"Primaria"
"39",1,"Hombre",49,"Secundaria"
"40",0,"Mujer",54,"Primaria"
"42",1,"Hombre",31,"Primaria"
"43",0,"Mujer",42,"Primaria"
"44",1,"Hombre",22,"Medios universitarios"
"45",0,"Mujer",65,"Primaria"
"46",0,"Mujer",43,"Primaria"
"47",1,"Hombre",64,"Medios universitarios"
"48",0,"Mujer",29,"Primaria"
"49",1,"Hombre",26,"Primaria"
"50",1,"Mujer",29,"Superiores"
"51",0,"Hombre",54,"Secundaria"
"52",0,"Mujer",90,"Primaria"
"53",0,"Hombre",79,"Sin estudios"
"54",0,"Hombre",38,"Primaria"
"55",0,"Hombre",65,"Primaria"
"56",0,"Mujer",61,"Primaria"
"57",0,"Mujer",53,"Secundaria"
"58",1,"Hombre",39,"Primaria"
"59",0,"Mujer",74,"Primaria"
"60",1,"Mujer",29,"Secundaria"
"61",0,"Mujer",49,"Primaria"
"62",0,"Hombre",54,"Primaria"
"63",0,"Hombre",64,"Primaria"
"64",0,"Hombre",29,"Primaria"
"65",1,"Hombre",19,"F.P."
"66",0,"Mujer",44,"Primaria"
"67",1,"Mujer",31,"Primaria"
"68",1,"Hombre",40,"Primaria"
"69",0,"Mujer",30,"Primaria"
"70",0,"Hombre",46,"Primaria"
"71",1,"Hombre",34,"Primaria"
"72",0,"Mujer",76,"Sin estudios"
"73",0,"Hombre",74,"Sin estudios"
"74",0,"Mujer",61,"Sin estudios"
"75",0,"Mujer",50,"Primaria"
"76",0,"Mujer",57,"Primaria"
"77",0,"Mujer",66,"Primaria"
"78",1,"Hombre",25,"Primaria"
"79",1,"Mujer",40,"Medios universitarios"
"80",0,"Hombre",58,"Primaria"
"81",0,"Hombre",73,"Primaria"
"82",1,"Mujer",27,"Superiores"
"83",0,"Hombre",41,"F.P."
"84",0,"Hombre",51,"F.P."
"85",0,"Hombre",47,"Primaria"
"86",0,"Hombre",43,"Primaria"
"87",1,"Mujer",23,"Primaria"
"88",1,"Mujer",29,"Primaria"
"89",1,"Mujer",47,"Superiores"
"90",0,"Mujer",61,"Sin estudios"
"91",1,"Hombre",21,"Secundaria"
"92",0,"Hombre",39,"Primaria"
"93",1,"Mujer",32,"Primaria"
"94",1,"Hombre",34,"F.P."
"95",1,"Mujer",47,"F.P."
"96",0,"Mujer",66,"Primaria"
"97",0,"Hombre",73,"Sin estudios"
"98",0,"Hombre",63,"Sin estudios"
"99",0,"Mujer",40,"Primaria"
"100",1,"Hombre",39,"Primaria"
"101",0,"Mujer",73,"Sin estudios"
"102",0,"Hombre",37,"Primaria"
"103",0,"Mujer",58,"Sin estudios"
"104",0,"Mujer",37,"Secundaria"
"105",1,"Hombre",33,"Primaria"
"106",1,"Mujer",23,"Primaria"
"107",0,"Hombre",68,"Primaria"
"108",1,"Hombre",46,"Primaria"
"109",0,"Mujer",44,"Primaria"
"110",1,"Mujer",50,"F.P."
"111",0,"Hombre",58,"Primaria"
"112",1,"Hombre",47,"Primaria"
"113",0,"Mujer",56,"Primaria"
"114",0,"Hombre",68,"Medios universitarios"
"115",1,"Hombre",29,"Superiores"
"116",1,"Hombre",36,"Primaria"
"117",1,"Mujer",32,"Superiores"
"118",0,"Mujer",65,"Sin estudios"
"119",1,"Mujer",32,"Primaria"
"120",0,"Hombre",38,"Primaria"
"121",1,"Mujer",19,"Secundaria"
"122",0,"Hombre",61,"Primaria"
"123",1,"Mujer",40,"Primaria"
"124",1,"Mujer",46,"Secundaria"
"125",1,"Mujer",40,"Secundaria"
"126",0,"Mujer",75,"Primaria"
"127",0,"Hombre",71,"Medios universitarios"
"128",1,"Hombre",18,"Primaria"
"129",1,"Hombre",30,"Medios universitarios"
"130",0,"Mujer",64,"Primaria"
"131",1,"Mujer",33,"Primaria"
"132",1,"Hombre",40,"F.P."
"133",0,"Mujer",71,"Primaria"
"134",0,"Hombre",71,"Sin estudios"
"135",1,"Mujer",45,"Primaria"
"136",0,"Hombre",50,"Sin estudios"
"137",1,"Hombre",24,"Primaria"
"138",0,"Hombre",82,"Primaria"
"139",0,"Mujer",77,"Sin estudios"
"140",0,"Hombre",60,"Primaria"
"141",0,"Mujer",49,"Primaria"
"142",1,"Hombre",47,"Primaria"
"143",1,"Hombre",22,"Primaria"
"144",0,"Mujer",37,"Primaria"
"145",1,"Mujer",20,"F.P."
"146",0,"Mujer",56,"Primaria"
"147",0,"Mujer",73,"Sin estudios"
"148",1,"Hombre",34,"Primaria"
"149",1,"Mujer",26,"Primaria"
"150",1,"Mujer",41,"Primaria"
"151",0,"Hombre",79,"Sin estudios"
"152",0,"Hombre",51,"Primaria"
"153",0,"Hombre",43,"Primaria"
"154",0,"Mujer",55,"Primaria"
"155",1,"Hombre",31,"Primaria"
"156",1,"Mujer",18,"Primaria"
"157",0,"Mujer",37,"Primaria"
"158",0,"Mujer",25,"Secundaria"
"159",0,"Hombre",39,"Secundaria"
"160",1,"Hombre",59,"Primaria"
"161",0,"Mujer",65,"Primaria"
"162",1,"Hombre",21,"Primaria"
"163",1,"Hombre",32,"Primaria"
"164",0,"Hombre",80,"Primaria"
"165",0,"Hombre",80,"Primaria"
"166",0,"Hombre",83,"Sin estudios"
"167",0,"Mujer",74,"Primaria"
"168",0,"Hombre",35,"F.P."
"169",1,"Mujer",43,"F.P."
"170",0,"Mujer",33,"Primaria"
"171",0,"Mujer",62,"Primaria"
"172",1,"Mujer",48,"Secundaria"
"173",1,"Hombre",41,"Primaria"
"174",1,"Mujer",29,"Secundaria"
"175",1,"Hombre",45,"Primaria"
"176",0,"Mujer",76,"Medios universitarios"
"177",0,"Hombre",54,"Primaria"
"178",0,"Mujer",76,"Primaria"
"179",1,"Hombre",20,"Secundaria"
"180",1,"Hombre",42,"Medios universitarios"
"181",1,"Hombre",25,"F.P."
"182",0,"Hombre",57,"Primaria"
"183",0,"Mujer",70,"Primaria"
"184",0,"Mujer",33,"Primaria"
"185",1,"Mujer",44,"Superiores"
"186",0,"Mujer",56,"Medios universitarios"
"187",1,"Hombre",53,"F.P."
"188",1,"Hombre",65,"Secundaria"
"189",1,"Mujer",29,"Medios universitarios"
"190",1,"Hombre",44,"F.P."
"191",0,"Mujer",55,"Secundaria"
"192",1,"Mujer",54,"Medios universitarios"
"193",1,"Mujer",43,"Superiores"
"194",0,"Hombre",62,"Primaria"
"195",0,"Mujer",67,"Primaria"
"196",1,"Hombre",19,"Primaria"
"197",0,"Mujer",74,"Primaria"
"198",0,"Mujer",27,"Secundaria"
"199",0,"Hombre",34,"Primaria"
"200",0,"Hombre",54,"Primaria"
"201",0,"Hombre",75,"Primaria"
"202",0,"Hombre",28,"Primaria"
"203",1,"Hombre",46,"Primaria"
"204",1,"Hombre",18,"Primaria"
"205",0,"Mujer",74,"Sin estudios"
"206",1,"Mujer",35,"Secundaria"
"207",0,"Mujer",23,"Secundaria"
"208",0,"Hombre",25,"F.P."
"209",1,"Mujer",18,"Primaria"
"210",1,"Hombre",56,"Primaria"
"211",0,"Mujer",33,"Secundaria"
"212",0,"Mujer",43,"Primaria"
"213",0,"Hombre",74,"Secundaria"
"214",1,"Mujer",69,"Primaria"
"215",0,"Mujer",58,"Primaria"
"216",0,"Hombre",48,"Primaria"
"217",0,"Hombre",74,"Sin estudios"
"218",1,"Mujer",39,"F.P."
"219",0,"Hombre",44,"Primaria"
"220",0,"Mujer",53,"Sin estudios"
"221",1,"Mujer",19,"Primaria"
"222",1,"Hombre",44,"Medios universitarios"
"223",0,"Mujer",54,"Primaria"
"224",1,"Mujer",38,"Medios universitarios"
"225",0,"Mujer",85,"Primaria"
"226",1,"Mujer",31,"Medios universitarios"
"227",0,"Hombre",71,"Primaria"
"228",1,"Hombre",42,"Superiores"
"229",0,"Mujer",57,"Sin estudios"
"230",1,"Hombre",51,"Medios universitarios"
"231",1,"Hombre",64,"Primaria"
"232",1,"Hombre",31,"F.P."
"233",0,"Mujer",66,"Sin estudios"
"234",0,"Mujer",31,"Primaria"
"235",0,"Hombre",81,"Sin estudios"
"236",0,"Mujer",47,"Primaria"
"237",0,"Mujer",19,"Primaria"
"238",1,"Hombre",24,"Primaria"
"239",1,"Hombre",48,"Primaria"
"240",1,"Hombre",25,"Primaria"
"241",0,"Hombre",50,"Primaria"
"242",0,"Mujer",38,"Primaria"
"243",1,"Mujer",21,"Medios universitarios"
"244",1,"Mujer",34,"Secundaria"
"245",0,"Mujer",65,"Secundaria"
"247",0,"Hombre",35,"Primaria"
"248",1,"Hombre",37,"Primaria"
"249",1,"Mujer",64,"Primaria"
"250",1,"Hombre",47,"Medios universitarios"
"251",1,"Mujer",19,"Primaria"
"252",1,"Hombre",38,"F.P."
"253",1,"Hombre",28,"F.P."
"254",1,"Mujer",33,"F.P."
"255",0,"Mujer",75,"Primaria"
"256",1,"Hombre",73,"Secundaria"
"257",1,"Mujer",41,"Medios universitarios"
"258",1,"Hombre",54,"Primaria"
"259",1,"Hombre",23,"Primaria"
"260",1,"Hombre",32,"Medios universitarios"
"261",0,"Hombre",60,"Primaria"
"262",0,"Mujer",58,"Superiores"
"263",1,"Mujer",47,"Medios universitarios"
"264",0,"Mujer",71,"Primaria"
"265",1,"Mujer",35,"Medios universitarios"
"266",1,"Mujer",30,"F.P."
"267",1,"Hombre",41,"Superiores"
"268",0,"Hombre",82,"Primaria"
"269",1,"Mujer",26,"Medios universitarios"
"270",1,"Mujer",28,"Primaria"
"271",1,"Hombre",25,"Superiores"
"272",1,"Mujer",43,"Superiores"
"273",0,"Mujer",84,"Primaria"
"274",1,"Hombre",38,"Superiores"
"275",1,"Hombre",48,"Secundaria"
"276",0,"Mujer",74,"Primaria"
"277",1,"Mujer",37,"Medios universitarios"
"278",0,"Mujer",72,"Primaria"
"279",0,"Hombre",69,"Primaria"
"280",1,"Hombre",29,"Superiores"
"281",1,"Mujer",29,"Medios universitarios"
"282",0,"Mujer",52,"Primaria"
"283",1,"Mujer",53,"Secundaria"
"284",1,"Hombre",35,"Superiores"
"285",1,"Mujer",24,"Superiores"
"286",0,"Mujer",83,"F.P."
"287",1,"Hombre",32,"F.P."
"288",0,"Mujer",57,"Primaria"
"289",1,"Hombre",39,"F.P."
"290",1,"Mujer",39,"F.P."
"291",0,"Mujer",64,"Primaria"
"292",1,"Mujer",33,"Medios universitarios"
"293",1,"Hombre",56,"Medios universitarios"
"294",0,"Hombre",57,"Primaria"
"295",0,"Mujer",48,"F.P."
"296",0,"Hombre",70,"Primaria"
"297",1,"Hombre",29,"F.P."
"298",0,"Mujer",66,"Primaria"
"299",0,"Hombre",69,"Primaria"
"300",1,"Hombre",28,"Superiores"
"301",1,"Hombre",41,"Secundaria"
"302",0,"Mujer",81,"Primaria"
"303",1,"Mujer",51,"Secundaria"
"304",1,"Mujer",56,"Secundaria"
"305",1,"Hombre",20,"Secundaria"
"306",1,"Hombre",38,"Medios universitarios"
"307",0,"Hombre",53,"Primaria"
"308",1,"Hombre",37,"F.P."
"309",1,"Hombre",24,"F.P."
"310",0,"Hombre",40,"F.P."
"311",1,"Mujer",24,"Primaria"
"312",1,"Hombre",29,"F.P."
"313",0,"Mujer",75,"Primaria"
"314",1,"Mujer",35,"Secundaria"
"315",1,"Mujer",34,"Primaria"
"316",1,"Hombre",34,"F.P."
"317",1,"Mujer",35,"Superiores"
"318",0,"Hombre",61,"Secundaria"
"319",0,"Mujer",72,"Primaria"
"320",1,"Mujer",25,"F.P."
"321",0,"Mujer",64,"Primaria"
"322",1,"Hombre",49,"Secundaria"
"323",1,"Hombre",41,"Medios universitarios"
"324",1,"Hombre",32,"Primaria"
"325",1,"Hombre",24,"Primaria"
"326",1,"Mujer",18,"F.P."
"327",0,"Mujer",56,"Primaria"
"328",1,"Hombre",35,"Superiores"
"329",1,"Hombre",65,"Primaria"
"330",0,"Mujer",46,"F.P."
"331",0,"Mujer",86,"Primaria"
"332",0,"Hombre",60,"Superiores"
"333",1,"Mujer",26,"Superiores"
"334",0,"Mujer",85,"Sin estudios"
"335",1,"Hombre",18,"Secundaria"
"336",1,"Mujer",23,"Primaria"
"337",1,"Hombre",20,"Secundaria"
"338",0,"Mujer",70,"F.P."
"339",0,"Mujer",31,"Primaria"
"340",0,"Mujer",51,"Secundaria"
"341",1,"Hombre",27,"F.P."
"342",0,"Mujer",69,"Primaria"
"343",1,"Hombre",32,"F.P."
"344",1,"Hombre",32,"F.P."
"345",1,"Hombre",39,"Superiores"
"346",0,"Mujer",48,"Primaria"
"347",0,"Hombre",56,"Primaria"
"348",1,"Mujer",21,"Secundaria"
"349",1,"Mujer",41,"F.P."
"350",1,"Hombre",54,"Primaria"
"351",0,"Mujer",32,"Primaria"
"352",1,"Hombre",53,"Primaria"
"353",1,"Mujer",26,"Primaria"
"354",0,"Mujer",51,"Primaria"
"355",0,"Mujer",67,"Primaria"
"356",0,"Hombre",60,"Primaria"
"357",0,"Hombre",70,"Primaria"
"358",1,"Hombre",41,"F.P."
"359",1,"Mujer",39,"Superiores"
"360",0,"Mujer",51,"F.P."
"361",1,"Hombre",28,"Medios universitarios"
"362",0,"Mujer",64,"Primaria"
"363",1,"Hombre",41,"F.P."
"364",1,"Hombre",55,"Superiores"
"365",1,"Hombre",32,"Superiores"
"366",1,"Hombre",33,"F.P."
"367",1,"Mujer",43,"Primaria"
"368",1,"Mujer",25,"Primaria"
"369",1,"Mujer",67,"Secundaria"
"370",0,"Hombre",55,"Primaria"
"371",0,"Mujer",47,"Primaria"
"372",0,"Hombre",65,"F.P."
"373",0,"Hombre",59,"Sin estudios"
"374",1,"Mujer",45,"Secundaria"
"375",0,"Mujer",71,"F.P."
"376",1,"Mujer",35,"Superiores"
"377",1,"Mujer",24,"Medios universitarios"
"378",0,"Hombre",82,"Primaria"
"379",1,"Hombre",18,"Secundaria"
"380",1,"Hombre",28,"Superiores"
"381",1,"Hombre",44,"Superiores"
"382",1,"Mujer",18,"Primaria"
"383",0,"Mujer",81,"Sin estudios"
"384",0,"Hombre",73,"Primaria"
"385",1,"Hombre",51,"Primaria"
"386",1,"Mujer",28,"Primaria"
"387",1,"Hombre",22,"Primaria"
"388",1,"Hombre",43,"F.P."
"389",0,"Mujer",43,"F.P."
"390",1,"Hombre",33,"Medios universitarios"
"391",0,"Mujer",65,"Primaria"
"392",0,"Hombre",64,"Primaria"
"393",1,"Hombre",27,"Medios universitarios"
"394",0,"Mujer",50,"Primaria"
"395",1,"Mujer",33,"Superiores"
"396",0,"Mujer",81,"F.P."
"397",0,"Mujer",68,"Secundaria"
"398",1,"Hombre",45,"Primaria"
"399",1,"Hombre",40,"Secundaria"
"400",1,"Mujer",45,"Superiores"
"401",1,"Mujer",42,"F.P."
"402",1,"Mujer",41,"Primaria"
"403",1,"Mujer",48,"F.P."
"404",1,"Mujer",73,"Primaria"
"405",0,"Hombre",68,"Sin estudios"
"406",1,"Mujer",28,"Superiores"
"407",1,"Mujer",22,"F.P."
"408",0,"Mujer",61,"Primaria"
"409",1,"Hombre",23,"F.P."
"410",0,"Hombre",78,"Primaria"
"411",1,"Hombre",53,"Primaria"
"412",1,"Hombre",33,"F.P."
"413",0,"Mujer",68,"Primaria"
"414",0,"Mujer",55,"Primaria"
"415",1,"Hombre",31,"Primaria"
"416",1,"Mujer",21,"Secundaria"
"417",1,"Hombre",33,"Superiores"
"418",0,"Mujer",77,"Primaria"
"419",1,"Mujer",45,"Secundaria"
"420",1,"Hombre",66,"F.P."
"421",0,"Mujer",63,"Primaria"
"422",1,"Hombre",21,"Secundaria"
"423",1,"Hombre",41,"Superiores"
"424",1,"Hombre",49,"Primaria"
"425",1,"Mujer",32,"F.P."
"426",0,"Hombre",67,"Primaria"
"427",1,"Mujer",29,"Primaria"
"428",0,"Hombre",74,"Sin estudios"
"429",1,"Hombre",40,"Secundaria"
"430",0,"Hombre",30,"Primaria"
"431",1,"Hombre",30,"Primaria"
"432",1,"Hombre",36,"Primaria"
"433",0,"Mujer",65,"Sin estudios"
"434",1,"Hombre",81,"Primaria"
"435",0,"Mujer",63,"Sin estudios"
"436",1,"Mujer",24,"Superiores"
"437",1,"Mujer",42,"Superiores"
"438",1,"Hombre",52,"Primaria"
"439",1,"Mujer",41,"Superiores"
"440",0,"Hombre",71,"Sin estudios"
"441",0,"Hombre",37,"F.P."
"442",1,"Mujer",29,"Medios universitarios"
"443",1,"Mujer",51,"Medios universitarios"
"444",1,"Hombre",48,"F.P."
"445",0,"Mujer",57,"Primaria"
"446",1,"Hombre",43,"Secundaria"
"447",1,"Hombre",22,"Primaria"
"448",1,"Hombre",35,"F.P."
"449",0,"Hombre",90,"Sin estudios"
"450",1,"Mujer",68,"Medios universitarios"
"451",0,"Mujer",41,"Primaria"
"452",1,"Hombre",19,"Secundaria"
"453",1,"Hombre",39,"Primaria"
"454",0,"Hombre",52,"Primaria"
"455",1,"Hombre",19,"F.P."
"456",0,"Mujer",34,"Primaria"
"457",1,"Hombre",28,"Superiores"
"458",0,"Mujer",58,"Primaria"
"459",0,"Hombre",64,"Primaria"
"460",0,"Mujer",42,"Medios universitarios"
"461",0,"Mujer",69,"Sin estudios"
"462",1,"Hombre",26,"Secundaria"
"463",0,"Hombre",73,"Primaria"
"464",1,"Hombre",50,"Secundaria"
"465",0,"Mujer",43,"F.P."
"466",0,"Mujer",82,"Primaria"
"467",0,"Mujer",55,"F.P."
"468",1,"Hombre",35,"F.P."
"469",0,"Mujer",79,"Sin estudios"
"470",1,"Mujer",33,"F.P."
"471",1,"Hombre",30,"Primaria"
"472",0,"Hombre",57,"F.P."
"473",1,"Hombre",30,"Medios universitarios"
"474",1,"Hombre",32,"Medios universitarios"
"475",0,"Mujer",63,"Primaria"
"476",1,"Mujer",50,"F.P."
"477",1,"Mujer",44,"F.P."
"478",0,"Mujer",71,"Sin estudios"
"479",0,"Mujer",42,"Primaria"
"480",0,"Mujer",47,"Primaria"
"481",1,"Mujer",24,"F.P."
"482",1,"Hombre",55,"Medios universitarios"
"483",1,"Hombre",32,"Secundaria"
"484",1,"Mujer",32,"Superiores"
"485",0,"Mujer",78,"Primaria"
"486",0,"Mujer",73,"Sin estudios"
"487",0,"Mujer",60,"Primaria"
"488",1,"Mujer",33,"Primaria"
"489",0,"Mujer",35,"Primaria"
"490",0,"Mujer",52,"Primaria"
"491",1,"Hombre",31,"F.P."
"492",0,"Hombre",49,"Primaria"
"493",1,"Hombre",35,"Secundaria"
"494",1,"Hombre",28,"Primaria"
"495",1,"Mujer",38,"Primaria"
"496",1,"Mujer",30,"Medios universitarios"
"497",1,"Hombre",56,"Primaria"
"498",1,"Mujer",30,"Secundaria"
"499",1,"Mujer",37,"Superiores"
"500",1,"Hombre",31,"Medios universitarios"
"501",0,"Mujer",64,"Primaria"
"502",1,"Hombre",50,"Secundaria"
"503",1,"Hombre",55,"Superiores"
"504",0,"Mujer",43,"Secundaria"
"505",1,"Hombre",37,"Primaria"
"506",1,"Hombre",49,"Primaria"
"507",1,"Hombre",21,"Primaria"
"508",0,"Hombre",57,"F.P."
"509",1,"Mujer",21,"Primaria"
"511",1,"Hombre",38,"Primaria"
"512",0,"Hombre",70,"Primaria"
"513",0,"Mujer",57,"Primaria"
"514",0,"Mujer",82,"Sin estudios"
"515",0,"Mujer",40,"Primaria"
"516",0,"Mujer",72,"Sin estudios"
"517",1,"Hombre",36,"F.P."
"518",0,"Hombre",65,"Primaria"
"519",1,"Hombre",23,"Primaria"
"520",1,"Mujer",29,"Secundaria"
"521",1,"Hombre",48,"Secundaria"
"522",0,"Mujer",41,"Primaria"
"523",0,"Mujer",57,"Primaria"
"524",1,"Mujer",47,"Superiores"
"525",0,"Mujer",70,"Primaria"
"526",1,"Hombre",60,"Superiores"
"527",1,"Mujer",18,"Primaria"
"528",1,"Hombre",40,"Superiores"
"529",1,"Mujer",35,"Secundaria"
"530",1,"Hombre",46,"F.P."
"531",1,"Mujer",55,"Secundaria"
"532",1,"Hombre",60,"Primaria"
"533",1,"Hombre",29,"F.P."
"534",1,"Mujer",34,"F.P."
"535",1,"Mujer",39,"F.P."
"536",1,"Mujer",19,"Secundaria"
"537",1,"Hombre",47,"Secundaria"
"538",0,"Hombre",65,"Primaria"
"539",1,"Mujer",35,"F.P."
"541",0,"Hombre",54,"Primaria"
"542",1,"Hombre",60,"F.P."
"543",0,"Mujer",78,"Primaria"
"544",0,"Mujer",26,"F.P."
"545",0,"Mujer",59,"Medios universitarios"
"546",1,"Hombre",33,"F.P."
"547",1,"Mujer",33,"Secundaria"
"548",1,"Hombre",58,"Medios universitarios"
"549",0,"Hombre",80,"Primaria"
"550",1,"Mujer",47,"F.P."
"551",1,"Mujer",43,"Superiores"
"552",1,"Hombre",46,"Superiores"
"553",1,"Mujer",20,"F.P."
"554",1,"Hombre",37,"Superiores"
"555",0,"Mujer",85,"Superiores"
"556",0,"Mujer",75,"Primaria"
"557",0,"Hombre",80,"Primaria"
"558",1,"Hombre",33,"Secundaria"
"559",0,"Mujer",77,"Sin estudios"
"560",0,"Mujer",52,"Primaria"
"561",0,"Hombre",37,"Primaria"
"562",0,"Mujer",57,"Primaria"
"563",1,"Hombre",28,"F.P."
"564",0,"Hombre",62,"Primaria"
"565",0,"Hombre",33,"Primaria"
"566",1,"Hombre",50,"Superiores"
"567",0,"Hombre",75,"Primaria"
"568",1,"Mujer",26,"Superiores"
"569",1,"Mujer",41,"Medios universitarios"
"570",1,"Mujer",35,"Primaria"
"571",1,"Mujer",34,"Superiores"
"572",1,"Mujer",44,"Medios universitarios"
"573",1,"Hombre",18,"Primaria"
"574",1,"Hombre",26,"Secundaria"
"575",0,"Mujer",62,"Primaria"
"576",0,"Hombre",54,"Secundaria"
"577",0,"Hombre",64,"F.P."
"578",1,"Hombre",36,"Superiores"
"579",0,"Mujer",31,"F.P."
"580",1,"Mujer",54,"Medios universitarios"
"581",0,"Mujer",41,"Secundaria"
"582",1,"Mujer",20,"Medios universitarios"
"583",1,"Mujer",65,"Secundaria"
"584",0,"Hombre",53,"F.P."
"585",0,"Mujer",65,"Medios universitarios"
"586",0,"Hombre",76,"Primaria"
"588",0,"Mujer",58,"Primaria"
"589",1,"Mujer",46,"Medios universitarios"
"590",0,"Hombre",23,"Primaria"
"591",0,"Mujer",80,"Sin estudios"
"592",1,"Hombre",43,"Primaria"
"593",1,"Mujer",37,"Secundaria"
"594",1,"Hombre",28,"Primaria"
"595",1,"Mujer",47,"Secundaria"
"596",0,"Mujer",86,"Sin estudios"
"597",0,"Hombre",48,"Primaria"
"598",0,"Hombre",74,"Primaria"
"599",1,"Hombre",35,"Primaria"
"600",0,"Mujer",59,"Primaria"
"601",1,"Mujer",26,"Medios universitarios"
"602",1,"Hombre",25,"Secundaria"
"603",0,"Hombre",75,"Primaria"
"604",1,"Mujer",42,"Primaria"
"605",0,"Mujer",84,"Sin estudios"
"606",1,"Mujer",31,"Primaria"
"607",1,"Hombre",32,"Primaria"
"608",1,"Hombre",22,"F.P."
"609",0,"Hombre",59,"Primaria"
"610",0,"Mujer",57,"Primaria"
"611",1,"Hombre",40,"F.P."
"612",1,"Hombre",46,"Secundaria"
"613",1,"Hombre",43,"F.P."
"614",1,"Mujer",43,"Superiores"
"615",1,"Mujer",28,"Superiores"
"616",1,"Hombre",70,"F.P."
"617",1,"Mujer",53,"Superiores"
"618",0,"Mujer",27,"Secundaria"
"619",1,"Mujer",40,"Medios universitarios"
"620",1,"Hombre",31,"Medios universitarios"
"621",0,"Mujer",56,"Primaria"
"622",1,"Mujer",27,"F.P."
"623",0,"Mujer",75,"Primaria"
"624",0,"Hombre",42,"Primaria"
"625",1,"Mujer",46,"Primaria"
"626",1,"Hombre",48,"F.P."
"627",0,"Mujer",81,"Sin estudios"
"628",0,"Hombre",52,"Primaria"
"629",0,"Mujer",30,"Primaria"
"630",1,"Hombre",43,"Primaria"
