"","uso_internet","sexo","edad","estudios"
"631",0,"Mujer",18,"Primaria"
"632",1,"Mujer",42,"Secundaria"
"633",0,"Hombre",72,"Sin estudios"
"634",0,"Hombre",21,"Primaria"
"635",0,"Hombre",63,"Primaria"
"636",1,"Mujer",41,"Primaria"
"637",0,"Hombre",35,"Sin estudios"
"638",0,"Mujer",72,"Sin estudios"
"639",0,"Mujer",61,"Sin estudios"
"640",1,"Hombre",20,"Primaria"
"641",0,"Mujer",74,"Sin estudios"
"642",1,"Hombre",63,"Primaria"
"643",1,"Hombre",27,"Primaria"
"644",1,"Mujer",29,"F.P."
"645",0,"Mujer",50,"F.P."
"646",1,"Hombre",33,"Primaria"
"647",1,"Hombre",25,"F.P."
"648",1,"Mujer",51,"Superiores"
"649",1,"Hombre",47,"Secundaria"
"650",0,"Hombre",69,"Primaria"
"651",1,"Mujer",26,"Secundaria"
"652",1,"Mujer",18,"Secundaria"
"653",0,"Mujer",67,"Sin estudios"
"654",1,"Mujer",37,"Medios universitarios"
"655",1,"Hombre",43,"Medios universitarios"
"656",1,"Hombre",37,"Secundaria"
"657",1,"Hombre",19,"Secundaria"
"658",1,"Hombre",29,"Superiores"
"659",1,"Mujer",34,"Primaria"
"660",0,"Mujer",58,"Primaria"
"661",0,"Hombre",67,"Sin estudios"
"662",0,"Mujer",43,"Primaria"
"663",0,"Mujer",45,"Primaria"
"664",0,"Mujer",77,"Primaria"
"665",1,"Hombre",41,"Primaria"
"666",0,"Hombre",79,"Sin estudios"
"667",1,"Hombre",29,"Primaria"
"668",1,"Hombre",40,"F.P."
"669",0,"Mujer",20,"Primaria"
"670",0,"Mujer",26,"Primaria"
"671",0,"Mujer",54,"Sin estudios"
"672",0,"Mujer",57,"Primaria"
"673",0,"Mujer",38,"Primaria"
"674",0,"Hombre",48,"Primaria"
"675",1,"Hombre",26,"Primaria"
"676",0,"Hombre",68,"Sin estudios"
"677",0,"Hombre",26,"Primaria"
"678",0,"Mujer",31,"Secundaria"
"679",0,"Mujer",73,"Sin estudios"
"680",1,"Hombre",38,"Primaria"
"681",1,"Mujer",40,"Primaria"
"682",0,"Hombre",52,"Primaria"
"683",0,"Hombre",66,"Primaria"
"684",1,"Mujer",32,"Primaria"
"685",0,"Mujer",56,"Primaria"
"686",1,"Hombre",28,"Primaria"
"687",0,"Mujer",81,"Sin estudios"
"688",1,"Hombre",21,"Primaria"
"689",0,"Mujer",39,"F.P."
"690",0,"Hombre",44,"Primaria"
"691",1,"Hombre",26,"Medios universitarios"
"692",1,"Mujer",45,"Primaria"
"693",0,"Hombre",67,"Primaria"
"694",1,"Mujer",31,"Medios universitarios"
"695",1,"Mujer",32,"F.P."
"696",0,"Mujer",44,"Primaria"
"697",0,"Mujer",70,"Sin estudios"
"698",0,"Hombre",75,"Sin estudios"
"699",0,"Mujer",55,"Primaria"
"700",0,"Hombre",50,"F.P."
"701",0,"Hombre",62,"Primaria"
"702",1,"Hombre",31,"Superiores"
"703",1,"Hombre",40,"F.P."
"704",0,"Mujer",59,"Primaria"
"705",1,"Hombre",48,"F.P."
"706",0,"Mujer",30,"Primaria"
"707",0,"Mujer",65,"Medios universitarios"
"708",1,"Mujer",45,"Superiores"
"709",0,"Hombre",56,"Primaria"
"710",0,"Mujer",58,"Medios universitarios"
"711",1,"Hombre",28,"Primaria"
"712",1,"Mujer",32,"Superiores"
"713",0,"Mujer",70,"Primaria"
"714",0,"Hombre",77,"Sin estudios"
"715",0,"Hombre",57,"Primaria"
"716",0,"Mujer",52,"Primaria"
"717",0,"Mujer",39,"Primaria"
"718",0,"Hombre",40,"Primaria"
"719",0,"Hombre",86,"Primaria"
"720",1,"Hombre",20,"Primaria"
"721",0,"Mujer",65,"Sin estudios"
"722",0,"Hombre",40,"Primaria"
"723",0,"Hombre",51,"Primaria"
"725",1,"Hombre",20,"Primaria"
"726",0,"Hombre",70,"Primaria"
"727",1,"Mujer",40,"Primaria"
"728",1,"Hombre",28,"Medios universitarios"
"729",0,"Hombre",44,"Primaria"
"730",0,"Mujer",44,"Primaria"
"731",0,"Mujer",67,"Primaria"
"732",1,"Hombre",34,"Medios universitarios"
"733",0,"Hombre",75,"Primaria"
"734",0,"Mujer",57,"Primaria"
"735",1,"Mujer",18,"Primaria"
"736",1,"Hombre",48,"Secundaria"
"737",1,"Hombre",37,"Medios universitarios"
"738",0,"Mujer",45,"Primaria"
"739",1,"Mujer",23,"Primaria"
"740",1,"Hombre",48,"Primaria"
"741",0,"Mujer",44,"Primaria"
"742",1,"Mujer",29,"Primaria"
"743",0,"Hombre",56,"Primaria"
"744",1,"Hombre",34,"Primaria"
"745",1,"Mujer",32,"F.P."
"746",1,"Mujer",42,"Primaria"
"747",0,"Hombre",55,"Primaria"
"748",0,"Hombre",40,"F.P."
"749",0,"Hombre",71,"Primaria"
"750",0,"Mujer",62,"Primaria"
"751",1,"Mujer",18,"Primaria"
"752",0,"Mujer",87,"Sin estudios"
"753",0,"Mujer",68,"Sin estudios"
"754",0,"Hombre",55,"Sin estudios"
"755",0,"Hombre",39,"Primaria"
"756",0,"Mujer",57,"Primaria"
"757",0,"Hombre",19,"Primaria"
"758",1,"Hombre",30,"Primaria"
"759",0,"Mujer",46,"Primaria"
"760",1,"Mujer",35,"Medios universitarios"
"761",0,"Mujer",22,"F.P."
"762",1,"Mujer",28,"Primaria"
"763",0,"Mujer",70,"Sin estudios"
"764",0,"Mujer",38,"Primaria"
"765",1,"Mujer",45,"Primaria"
"766",0,"Hombre",28,"Primaria"
"767",0,"Hombre",48,"Primaria"
"769",1,"Hombre",36,"Superiores"
"770",0,"Hombre",86,"Sin estudios"
"771",0,"Hombre",54,"Primaria"
"772",0,"Hombre",44,"Primaria"
"773",0,"Mujer",37,"Medios universitarios"
"774",1,"Hombre",28,"F.P."
"775",0,"Hombre",54,"Primaria"
"776",0,"Hombre",73,"Primaria"
"777",0,"Mujer",73,"Primaria"
"778",0,"Mujer",32,"Primaria"
"779",0,"Mujer",61,"Primaria"
"780",0,"Hombre",68,"Primaria"
"781",0,"Mujer",83,"Medios universitarios"
"782",0,"Hombre",45,"Primaria"
"783",1,"Mujer",30,"Superiores"
"784",1,"Mujer",38,"Primaria"
"785",1,"Hombre",24,"Primaria"
"786",0,"Mujer",51,"Medios universitarios"
"787",1,"Hombre",38,"F.P."
"788",0,"Mujer",64,"Primaria"
"789",0,"Mujer",74,"Medios universitarios"
"790",0,"Mujer",48,"Primaria"
"791",1,"Mujer",21,"F.P."
"792",0,"Mujer",29,"Primaria"
"793",1,"Hombre",31,"F.P."
"794",0,"Hombre",71,"Primaria"
"795",1,"Hombre",48,"Primaria"
"796",0,"Hombre",64,"Secundaria"
"797",1,"Hombre",35,"Primaria"
"798",0,"Mujer",60,"Secundaria"
"799",0,"Hombre",63,"Primaria"
"800",1,"Hombre",19,"Secundaria"
"801",0,"Hombre",47,"Primaria"
"802",0,"Hombre",78,"Primaria"
"803",0,"Mujer",52,"Primaria"
"804",1,"Mujer",44,"Secundaria"
"805",0,"Mujer",76,"Primaria"
"806",0,"Mujer",78,"Sin estudios"
"807",1,"Hombre",41,"Superiores"
"808",0,"Mujer",63,"Primaria"
"809",1,"Mujer",44,"Secundaria"
"810",0,"Mujer",68,"Sin estudios"
"811",0,"Hombre",66,"Primaria"
"812",1,"Hombre",25,"Secundaria"
"813",1,"Mujer",25,"Superiores"
"814",1,"Hombre",46,"Secundaria"
"815",0,"Mujer",67,"Primaria"
"816",0,"Mujer",59,"Primaria"
"817",0,"Hombre",40,"Primaria"
"818",1,"Mujer",25,"F.P."
"819",0,"Hombre",76,"Sin estudios"
"820",1,"Hombre",22,"F.P."
"821",1,"Mujer",53,"Secundaria"
"822",1,"Hombre",31,"Primaria"
"823",0,"Mujer",42,"Primaria"
"824",0,"Hombre",60,"Primaria"
"825",0,"Mujer",32,"Secundaria"
"826",0,"Hombre",25,"F.P."
"827",0,"Hombre",70,"Primaria"
"828",0,"Mujer",80,"Sin estudios"
"829",0,"Hombre",47,"F.P."
"830",1,"Mujer",20,"Secundaria"
"831",1,"Hombre",56,"Superiores"
"832",0,"Hombre",53,"Primaria"
"833",0,"Mujer",73,"Sin estudios"
"834",0,"Mujer",66,"Sin estudios"
"835",1,"Hombre",33,"Primaria"
"836",1,"Mujer",40,"Primaria"
"837",1,"Hombre",65,"F.P."
"838",0,"Mujer",52,"Primaria"
"839",1,"Mujer",26,"F.P."
"840",1,"Mujer",26,"F.P."
"841",0,"Hombre",52,"Sin estudios"
"842",1,"Mujer",24,"F.P."
"843",0,"Hombre",53,"Secundaria"
"844",0,"Hombre",35,"Primaria"
"845",0,"Mujer",69,"Sin estudios"
"846",1,"Mujer",36,"Medios universitarios"
"847",1,"Mujer",25,"F.P."
"848",0,"Mujer",69,"Primaria"
"849",0,"Hombre",36,"Primaria"
"850",1,"Mujer",46,"Medios universitarios"
"851",0,"Mujer",60,"Primaria"
"852",1,"Hombre",48,"Secundaria"
"853",1,"Mujer",35,"Medios universitarios"
"854",1,"Hombre",29,"Superiores"
"855",1,"Hombre",33,"Primaria"
"856",1,"Mujer",42,"Superiores"
"857",0,"Mujer",63,"Sin estudios"
"858",0,"Hombre",59,"Primaria"
"859",1,"Hombre",43,"Primaria"
"860",0,"Mujer",66,"Sin estudios"
"861",0,"Mujer",64,"Secundaria"
"862",1,"Hombre",52,"Secundaria"
"863",1,"Mujer",31,"Superiores"
"864",0,"Hombre",87,"Primaria"
"865",0,"Mujer",95,"Primaria"
"866",1,"Hombre",33,"F.P."
"867",0,"Hombre",44,"Primaria"
"868",1,"Mujer",46,"Primaria"
"869",1,"Mujer",31,"Superiores"
"870",1,"Mujer",63,"Medios universitarios"
"871",1,"Hombre",21,"Medios universitarios"
"872",1,"Mujer",42,"F.P."
"873",0,"Mujer",75,"Secundaria"
"874",0,"Hombre",67,"F.P."
"875",1,"Hombre",22,"Secundaria"
"876",1,"Hombre",37,"Primaria"
"877",0,"Hombre",54,"Primaria"
"878",0,"Hombre",62,"Primaria"
"879",1,"Mujer",28,"F.P."
"880",0,"Mujer",52,"Primaria"
"881",1,"Mujer",41,"F.P."
"882",1,"Mujer",65,"F.P."
"883",1,"Mujer",30,"Medios universitarios"
"884",0,"Hombre",47,"Primaria"
"885",1,"Hombre",20,"F.P."
"886",1,"Mujer",40,"F.P."
"887",0,"Hombre",81,"Primaria"
"888",1,"Hombre",44,"Primaria"
"889",1,"Hombre",33,"F.P."
"890",1,"Mujer",27,"F.P."
"891",1,"Hombre",52,"Superiores"
"892",1,"Mujer",66,"Medios universitarios"
"893",0,"Hombre",74,"Sin estudios"
"894",1,"Mujer",19,"Secundaria"
"895",0,"Mujer",38,"F.P."
"896",1,"Hombre",35,"Superiores"
"897",1,"Hombre",22,"Secundaria"
"898",0,"Mujer",53,"Superiores"
"899",1,"Mujer",32,"Secundaria"
"900",1,"Hombre",58,"Secundaria"
"901",1,"Mujer",23,"Primaria"
"902",1,"Hombre",31,"Superiores"
"903",0,"Mujer",66,"Secundaria"
"904",1,"Hombre",42,"Primaria"
"905",0,"Mujer",57,"Primaria"
"906",1,"Hombre",73,"Superiores"
"907",1,"Hombre",34,"Primaria"
"908",1,"Mujer",31,"Secundaria"
"909",1,"Mujer",36,"Primaria"
"910",1,"Hombre",38,"Medios universitarios"
"911",0,"Mujer",65,"Primaria"
"912",1,"Hombre",27,"Primaria"
"913",0,"Mujer",58,"Primaria"
"914",0,"Mujer",49,"Sin estudios"
"915",0,"Hombre",69,"Primaria"
"916",0,"Hombre",59,"Secundaria"
"917",0,"Mujer",36,"Primaria"
"918",0,"Mujer",72,"Primaria"
"919",1,"Hombre",46,"F.P."
"920",0,"Mujer",18,"Primaria"
"921",0,"Hombre",34,"Primaria"
"922",1,"Mujer",32,"Secundaria"
"923",1,"Hombre",26,"Primaria"
"924",1,"Hombre",56,"Secundaria"
"925",1,"Hombre",31,"F.P."
"926",1,"Mujer",26,"F.P."
"927",0,"Hombre",84,"Primaria"
"928",1,"Mujer",24,"Primaria"
"929",0,"Mujer",50,"Primaria"
"930",1,"Hombre",24,"Primaria"
"931",0,"Hombre",64,"Primaria"
"932",0,"Mujer",60,"Primaria"
"933",1,"Hombre",38,"Secundaria"
"934",1,"Hombre",35,"Primaria"
"935",1,"Mujer",65,"Primaria"
"936",1,"Mujer",26,"Secundaria"
"937",1,"Mujer",42,"Medios universitarios"
"938",0,"Hombre",48,"Primaria"
"939",0,"Hombre",78,"Sin estudios"
"940",1,"Hombre",44,"F.P."
"941",0,"Hombre",34,"Primaria"
"942",0,"Hombre",46,"Secundaria"
"943",1,"Mujer",21,"Primaria"
"944",1,"Hombre",40,"Primaria"
"946",0,"Mujer",64,"Primaria"
"947",0,"Hombre",68,"Sin estudios"
"948",1,"Mujer",48,"F.P."
"949",0,"Mujer",85,"Primaria"
"950",0,"Hombre",55,"Medios universitarios"
"951",1,"Hombre",24,"F.P."
"952",0,"Mujer",80,"Sin estudios"
"953",1,"Hombre",30,"Primaria"
"954",1,"Hombre",45,"Medios universitarios"
"955",0,"Hombre",64,"Primaria"
"956",1,"Mujer",18,"Primaria"
"957",0,"Mujer",35,"Superiores"
"958",1,"Mujer",55,"Secundaria"
"959",1,"Mujer",82,"Medios universitarios"
"960",1,"Mujer",38,"Medios universitarios"
"961",0,"Mujer",87,"Primaria"
"962",1,"Mujer",22,"Medios universitarios"
"963",1,"Hombre",51,"Secundaria"
"964",0,"Hombre",77,"Primaria"
"965",1,"Hombre",62,"Medios universitarios"
"966",1,"Hombre",37,"F.P."
"967",1,"Mujer",29,"Medios universitarios"
"968",0,"Mujer",62,"Primaria"
"969",1,"Mujer",47,"Secundaria"
"970",0,"Mujer",90,"Sin estudios"
"971",1,"Hombre",32,"F.P."
"972",1,"Mujer",30,"Superiores"
"973",0,"Hombre",80,"Primaria"
"974",1,"Hombre",37,"F.P."
"975",1,"Hombre",22,"Secundaria"
"976",0,"Hombre",80,"Primaria"
"977",0,"Hombre",46,"F.P."
"978",0,"Mujer",56,"Secundaria"
"979",0,"Mujer",73,"Primaria"
"980",1,"Mujer",43,"Medios universitarios"
"981",1,"Hombre",34,"F.P."
"982",1,"Mujer",26,"Secundaria"
"983",1,"Mujer",47,"Primaria"
"984",0,"Mujer",49,"Primaria"
"985",1,"Mujer",56,"Medios universitarios"
"986",1,"Mujer",29,"Medios universitarios"
"987",1,"Hombre",18,"Primaria"
"988",1,"Hombre",55,"Secundaria"
"989",1,"Hombre",39,"Secundaria"
"990",1,"Hombre",31,"F.P."
"991",0,"Hombre",50,"Primaria"
"992",1,"Mujer",33,"Primaria"
"993",0,"Hombre",39,"Primaria"
"994",0,"Hombre",77,"Primaria"
"995",0,"Mujer",50,"Primaria"
"996",0,"Mujer",75,"Primaria"
"997",0,"Hombre",30,"Primaria"
"998",0,"Mujer",38,"Primaria"
"999",0,"Mujer",70,"Sin estudios"
"1000",0,"Hombre",31,"Primaria"
"1001",1,"Mujer",47,"F.P."
"1002",0,"Hombre",79,"Primaria"
"1003",0,"Hombre",20,"Primaria"
"1004",1,"Hombre",40,"F.P."
"1005",1,"Mujer",27,"Secundaria"
"1006",0,"Mujer",42,"Primaria"
"1007",0,"Hombre",52,"Primaria"
"1008",0,"Hombre",25,"Primaria"
"1009",0,"Hombre",42,"F.P."
"1010",0,"Mujer",65,"Sin estudios"
"1011",0,"Mujer",56,"Primaria"
"1012",1,"Mujer",22,"Medios universitarios"
"1013",0,"Mujer",34,"Primaria"
"1014",1,"Hombre",21,"Primaria"
"1015",0,"Hombre",57,"Primaria"
"1016",0,"Hombre",70,"Sin estudios"
"1017",1,"Mujer",40,"Primaria"
"1018",1,"Mujer",33,"Medios universitarios"
"1019",1,"Hombre",25,"Primaria"
"1020",0,"Mujer",66,"Sin estudios"
"1021",1,"Hombre",39,"Secundaria"
"1022",0,"Mujer",47,"F.P."
"1023",0,"Mujer",68,"Sin estudios"
"1024",1,"Hombre",30,"Primaria"
"1025",0,"Hombre",65,"Primaria"
"1026",1,"Hombre",36,"F.P."
"1027",0,"Mujer",46,"Primaria"
"1028",1,"Mujer",28,"Primaria"
"1029",0,"Mujer",37,"Primaria"
"1030",0,"Mujer",62,"Primaria"
"1031",1,"Hombre",46,"Primaria"
"1032",0,"Hombre",63,"Primaria"
"1033",1,"Hombre",25,"Medios universitarios"
"1034",0,"Mujer",65,"Primaria"
"1035",0,"Hombre",80,"Primaria"
"1036",1,"Mujer",54,"Primaria"
"1037",0,"Hombre",50,"F.P."
"1038",1,"Mujer",36,"Medios universitarios"
"1039",1,"Hombre",60,"Superiores"
"1040",1,"Mujer",34,"Medios universitarios"
"1041",1,"Mujer",21,"Secundaria"
"1042",0,"Hombre",73,"F.P."
"1043",0,"Mujer",77,"Primaria"
"1044",1,"Mujer",37,"Secundaria"
"1045",1,"Hombre",45,"Primaria"
"1046",1,"Mujer",22,"Primaria"
"1047",1,"Mujer",42,"Primaria"
"1048",0,"Hombre",72,"Sin estudios"
"1049",0,"Hombre",38,"Primaria"
"1050",0,"Hombre",50,"Primaria"
"1051",1,"Hombre",28,"Medios universitarios"
"1052",1,"Mujer",55,"Secundaria"
"1053",0,"Mujer",65,"Primaria"
"1054",1,"Mujer",48,"Primaria"
"1055",1,"Hombre",20,"Primaria"
"1056",0,"Mujer",45,"Primaria"
"1057",1,"Mujer",32,"Secundaria"
"1058",0,"Hombre",76,"Sin estudios"
"1059",1,"Hombre",37,"Primaria"
"1060",0,"Mujer",60,"Primaria"
"1061",0,"Mujer",70,"Sin estudios"
"1062",0,"Hombre",31,"Primaria"
"1063",1,"Mujer",44,"Primaria"
"1064",0,"Mujer",30,"Primaria"
"1065",0,"Hombre",57,"Primaria"
"1066",0,"Mujer",73,"Sin estudios"
"1067",0,"Hombre",88,"Sin estudios"
"1068",1,"Hombre",18,"Primaria"
"1069",0,"Hombre",48,"Primaria"
"1070",1,"Hombre",37,"Medios universitarios"
"1071",0,"Mujer",60,"Primaria"
"1072",1,"Hombre",24,"Medios universitarios"
"1073",1,"Mujer",40,"Secundaria"
"1074",0,"Hombre",35,"Primaria"
"1075",0,"Mujer",73,"Medios universitarios"
"1076",1,"Mujer",33,"Medios universitarios"
"1077",1,"Hombre",25,"Medios universitarios"
"1078",1,"Mujer",45,"F.P."
"1079",1,"Hombre",53,"Superiores"
"1080",1,"Hombre",68,"Medios universitarios"
"1081",1,"Hombre",35,"Secundaria"
"1082",0,"Mujer",24,"Primaria"
"1083",1,"Mujer",30,"F.P."
"1084",0,"Mujer",80,"Primaria"
"1085",0,"Mujer",41,"Primaria"
"1086",0,"Hombre",52,"Primaria"
"1087",0,"Hombre",23,"Primaria"
"1088",1,"Hombre",70,"Primaria"
"1089",0,"Hombre",80,"Sin estudios"
"1090",0,"Hombre",60,"Primaria"
"1091",0,"Hombre",46,"Secundaria"
"1092",0,"Mujer",87,"Sin estudios"
"1093",1,"Hombre",41,"Primaria"
"1094",0,"Mujer",45,"Primaria"
"1095",0,"Mujer",54,"Medios universitarios"
"1096",1,"Hombre",25,"Primaria"
"1097",0,"Mujer",79,"Primaria"
"1098",1,"Hombre",40,"F.P."
"1099",1,"Mujer",28,"F.P."
"1100",0,"Hombre",82,"Primaria"
"1101",0,"Mujer",63,"Primaria"
"1102",1,"Hombre",59,"Primaria"
"1103",0,"Mujer",30,"Primaria"
"1104",1,"Mujer",35,"F.P."
"1105",1,"Mujer",24,"F.P."
"1106",1,"Hombre",45,"Medios universitarios"
"1107",0,"Hombre",79,"Primaria"
"1108",0,"Hombre",62,"Primaria"
"1109",0,"Mujer",62,"Primaria"
"1110",1,"Hombre",39,"Superiores"
"1111",1,"Hombre",30,"Medios universitarios"
"1112",1,"Mujer",65,"F.P."
"1113",0,"Mujer",72,"Primaria"
"1114",1,"Hombre",22,"F.P."
"1115",0,"Mujer",47,"Secundaria"
"1116",1,"Hombre",38,"Superiores"
"1117",1,"Hombre",34,"Medios universitarios"
"1118",0,"Mujer",52,"Primaria"
"1119",1,"Mujer",38,"Superiores"
"1120",1,"Mujer",25,"Medios universitarios"
"1121",1,"Hombre",50,"F.P."
"1122",0,"Mujer",76,"Primaria"
"1123",1,"Hombre",23,"F.P."
"1124",0,"Mujer",45,"F.P."
"1125",0,"Mujer",24,"Primaria"
"1126",0,"Hombre",56,"Primaria"
"1127",1,"Mujer",35,"Superiores"
"1128",0,"Hombre",68,"Primaria"
"1129",1,"Hombre",34,"Primaria"
"1130",0,"Mujer",79,"Primaria"
"1131",1,"Mujer",31,"Medios universitarios"
"1132",0,"Mujer",59,"Primaria"
"1133",1,"Hombre",47,"Primaria"
"1134",1,"Hombre",35,"F.P."
"1135",0,"Mujer",77,"Primaria"
"1136",1,"Hombre",44,"Primaria"
"1137",1,"Hombre",42,"Primaria"
"1138",0,"Hombre",66,"Primaria"
"1139",0,"Mujer",58,"Primaria"
"1140",0,"Mujer",44,"Primaria"
"1141",0,"Mujer",54,"Primaria"
"1142",0,"Hombre",71,"Primaria"
"1143",1,"Mujer",25,"Medios universitarios"
"1144",0,"Hombre",55,"Primaria"
"1145",0,"Hombre",39,"Primaria"
"1146",0,"Mujer",67,"Sin estudios"
"1147",0,"Mujer",58,"Primaria"
"1148",1,"Hombre",19,"Primaria"
"1149",1,"Hombre",49,"F.P."
"1150",1,"Mujer",33,"Secundaria"
"1151",0,"Hombre",74,"Sin estudios"
"1152",0,"Mujer",58,"F.P."
"1153",0,"Mujer",65,"Primaria"
"1154",0,"Hombre",35,"Secundaria"
"1155",1,"Mujer",35,"F.P."
"1156",1,"Hombre",30,"Secundaria"
"1157",0,"Mujer",68,"Sin estudios"
"1158",0,"Mujer",45,"Secundaria"
"1159",0,"Hombre",64,"Primaria"
"1160",0,"Hombre",74,"F.P."
"1161",0,"Mujer",75,"Sin estudios"
"1162",0,"Hombre",45,"Secundaria"
"1163",1,"Hombre",30,"Secundaria"
"1164",1,"Mujer",22,"F.P."
"1165",0,"Hombre",63,"Primaria"
"1166",1,"Hombre",45,"Primaria"
"1167",0,"Mujer",54,"Primaria"
"1168",0,"Mujer",31,"Primaria"
"1169",1,"Mujer",34,"Medios universitarios"
"1170",1,"Mujer",39,"Medios universitarios"
"1171",1,"Hombre",70,"Superiores"
"1172",1,"Hombre",34,"Secundaria"
"1173",1,"Hombre",51,"Superiores"
"1174",1,"Mujer",23,"Medios universitarios"
"1175",0,"Mujer",83,"Primaria"
"1176",1,"Hombre",44,"Secundaria"
"1177",1,"Mujer",40,"Secundaria"
"1178",1,"Hombre",35,"Superiores"
"1179",0,"Mujer",63,"Primaria"
"1180",0,"Hombre",71,"Primaria"
"1181",0,"Mujer",63,"Primaria"
"1182",1,"Mujer",43,"Medios universitarios"
"1183",1,"Mujer",51,"Primaria"
"1184",1,"Hombre",30,"Medios universitarios"
"1185",0,"Mujer",32,"Primaria"
"1186",1,"Hombre",18,"Primaria"
"1187",0,"Mujer",68,"Primaria"
"1188",1,"Hombre",26,"Medios universitarios"
"1189",0,"Mujer",82,"Secundaria"
"1190",1,"Hombre",73,"Superiores"
"1191",1,"Hombre",54,"Superiores"
"1192",1,"Mujer",22,"Medios universitarios"
"1193",1,"Hombre",21,"Primaria"
"1194",0,"Mujer",76,"Medios universitarios"
"1195",0,"Hombre",80,"Primaria"
"1196",1,"Hombre",42,"Primaria"
"1197",0,"Hombre",52,"Primaria"
"1198",0,"Mujer",60,"Secundaria"
"1199",1,"Mujer",28,"Primaria"
"1200",1,"Mujer",43,"Superiores"
"1201",1,"Hombre",45,"Secundaria"
"1202",1,"Hombre",36,"Superiores"
"1203",1,"Mujer",18,"Secundaria"
"1204",1,"Mujer",34,"Superiores"
"1205",1,"Hombre",53,"F.P."
"1206",1,"Mujer",48,"Primaria"
"1207",1,"Hombre",33,"Superiores"
"1208",1,"Hombre",47,"Superiores"
"1209",1,"Mujer",36,"Medios universitarios"
"1210",0,"Mujer",75,"Superiores"
"1211",1,"Mujer",49,"F.P."
"1212",1,"Hombre",61,"Secundaria"
"1213",1,"Hombre",33,"Medios universitarios"
"1214",1,"Hombre",49,"Primaria"
"1215",1,"Hombre",18,"Secundaria"
"1217",0,"Hombre",25,"Primaria"
"1218",1,"Mujer",68,"Primaria"
"1219",0,"Mujer",75,"Primaria"
"1220",1,"Mujer",50,"Secundaria"
"1221",0,"Hombre",69,"Sin estudios"
"1222",1,"Mujer",43,"Secundaria"
"1223",0,"Mujer",75,"Sin estudios"
"1224",1,"Mujer",25,"Superiores"
"1225",1,"Mujer",48,"Secundaria"
"1226",1,"Hombre",27,"Primaria"
"1227",1,"Mujer",46,"Primaria"
"1228",1,"Hombre",42,"Primaria"
"1229",0,"Mujer",72,"Sin estudios"
"1230",1,"Mujer",36,"Secundaria"
"1231",0,"Hombre",66,"Primaria"
"1232",1,"Hombre",31,"F.P."
"1233",1,"Hombre",31,"F.P."
"1234",1,"Mujer",42,"F.P."
"1235",0,"Mujer",68,"Medios universitarios"
"1236",1,"Mujer",18,"F.P."
"1237",1,"Hombre",26,"Superiores"
"1238",0,"Mujer",49,"Primaria"
"1239",1,"Mujer",44,"Superiores"
"1240",1,"Hombre",31,"Secundaria"
"1241",0,"Hombre",58,"Primaria"
"1242",0,"Mujer",57,"Primaria"
"1243",1,"Hombre",61,"Secundaria"
